  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-08-23 19:26:10.467  
  Recording stop:   ;  2024-08-23 19:47:15.017  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:08.984  ;  59,99               ;  12,072             ;  0,15935             ;  0,68098            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:11.982  ;  60,01               ;  12,075             ;  0,15814             ;  0,68188            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:14.981  ;  60,01               ;  12,077             ;  0,15636             ;  0,68255            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:17.980  ;  60,01               ;  12,076             ;  0,15683             ;  0,68414            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:20.979  ;  60,02               ;  12,075             ;  0,15857             ;  0,68455            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:23.978  ;  60,02               ;  12,073             ;  0,16072             ;  0,68209            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:26.977  ;  60,02               ;  12,072             ;  0,16087             ;  0,68031            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:29.977  ;  60,02               ;  12,072             ;  0,15880             ;  0,68175            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:32.976  ;  60,02               ;  12,075             ;  0,15820             ;  0,68065            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:35.975  ;  60,02               ;  12,077             ;  0,15707             ;  0,68321            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:38.973  ;  60,02               ;  12,073             ;  0,15590             ;  0,68343            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:41.972  ;  60,02               ;  12,075             ;  0,15161             ;  0,68299            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:44.970  ;  60,02               ;  12,074             ;  0,15109             ;  0,68381            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:47.968  ;  60,02               ;  12,072             ;  0,15040             ;  0,68410            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:50.966  ;  60,03               ;  12,074             ;  0,15430             ;  0,68472            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:53.965  ;  60,03               ;  12,076             ;  0,15283             ;  0,68617            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:56.964  ;  60,03               ;  12,078             ;  0,15563             ;  0,68619            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:31:59.962  ;  60,03               ;  12,079             ;  0,15815             ;  0,68587            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:02.962  ;  60,03               ;  12,077             ;  0,16047             ;  0,68571            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:05.961  ;  60,03               ;  12,075             ;  0,16028             ;  0,68325            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:08.961  ;  60,03               ;  12,075             ;  0,15830             ;  0,68243            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:11.960  ;  60,02               ;  12,076             ;  0,15985             ;  0,68165            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:14.959  ;  60,01               ;  12,080             ;  0,16163             ;  0,68279            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:17.957  ;  60,01               ;  12,081             ;  0,16056             ;  0,68242            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:20.955  ;  60,02               ;  12,078             ;  0,16040             ;  0,68292            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:23.954  ;  60,02               ;  12,078             ;  0,16071             ;  0,68421            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:26.952  ;  60,02               ;  12,075             ;  0,16195             ;  0,68340            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:29.950  ;  60,02               ;  12,076             ;  0,16034             ;  0,68263            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:32.949  ;  60,03               ;  12,075             ;  0,16135             ;  0,68384            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:35.948  ;  60,03               ;  12,076             ;  0,16271             ;  0,68347            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:38.947  ;  60,03               ;  12,077             ;  0,16292             ;  0,68490            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:41.946  ;  60,02               ;  12,079             ;  0,16162             ;  0,68227            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:44.945  ;  60,02               ;  12,076             ;  0,16119             ;  0,68360            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:47.944  ;  60,02               ;  12,076             ;  0,16308             ;  0,68288            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:50.943  ;  60,02               ;  12,078             ;  0,16027             ;  0,68343            
