  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-22 19:07:04.787  
  Recording stop:   ;  2024-10-22 19:22:02.953  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *L2 avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:42.007  ;  59.99               ;  12.470             ;  0.66315             ;  0.35467             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:45.006  ;  59.99               ;  12.467             ;  0.66339             ;  0.35251             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:48.005  ;  59.99               ;  12.471             ;  0.66361             ;  0.35366             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:51.003  ;  60.00               ;  12.478             ;  0.66347             ;  0.35589             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:54.001  ;  60.02               ;  12.476             ;  0.66351             ;  0.35636             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:57.000  ;  60.02               ;  12.395             ;  0.65878             ;  0.34883             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:11:59.999  ;  60.02               ;  12.393             ;  0.65749             ;  0.34859             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:02.999  ;  60.02               ;  12.393             ;  0.65685             ;  0.34956             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:05.998  ;  60.02               ;  12.397             ;  0.65692             ;  0.34904             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:08.996  ;  60.02               ;  12.398             ;  0.65587             ;  0.34976             
