  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-06-21 20:06:27.953  
  Recording stop:   ;  2024-06-21 20:26:32.970  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  U N-PE avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:17.986  ;  59,99               ;  12,327             ;  26,036               ;  0,77781             ;  0,26582            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:20.985  ;  60,00               ;  12,330             ;  26,043               ;  0,77684             ;  0,26545            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:23.985  ;  60,01               ;  12,328             ;  26,038               ;  0,77831             ;  0,26471            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:26.984  ;  60,01               ;  12,329             ;  26,042               ;  0,77711             ;  0,26652            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:29.984  ;  60,01               ;  12,329             ;  26,046               ;  0,77849             ;  0,26436            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:32.984  ;  60,01               ;  12,332             ;  26,051               ;  0,77657             ;  0,26477            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:35.984  ;  60,01               ;  12,333             ;  26,052               ;  0,77801             ;  0,26547            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:38.985  ;  60,01               ;  12,330             ;  26,046               ;  0,77634             ;  0,26542            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:41.986  ;  60,00               ;  12,329             ;  26,043               ;  0,77901             ;  0,26571            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:44.987  ;  59,99               ;  12,331             ;  26,049               ;  0,77861             ;  0,26574            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:47.989  ;  59,99               ;  12,329             ;  26,042               ;  0,77728             ;  0,26469            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:50.990  ;  59,98               ;  12,331             ;  26,049               ;  0,77722             ;  0,26624            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:53.991  ;  59,97               ;  12,327             ;  26,043               ;  0,77756             ;  0,26416            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:56.992  ;  59,97               ;  12,327             ;  26,042               ;  0,77778             ;  0,26560            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:11:59.993  ;  59,97               ;  12,330             ;  26,047               ;  0,77875             ;  0,26419            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:02.994  ;  59,98               ;  12,328             ;  26,048               ;  0,77677             ;  0,26558            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:05.993  ;  59,98               ;  12,328             ;  26,051               ;  0,77875             ;  0,26558            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:08.993  ;  59,98               ;  12,331             ;  26,056               ;  0,77712             ;  0,26667            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:11.992  ;  59,99               ;  12,329             ;  26,055               ;  0,77731             ;  0,26595            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:14.991  ;  60,00               ;  12,329             ;  26,055               ;  0,77610             ;  0,26630            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:17.990  ;  60,00               ;  12,327             ;  26,050               ;  0,77738             ;  0,26610            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:20.988  ;  60,01               ;  12,321             ;  26,039               ;  0,77739             ;  0,26735            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:23.987  ;  60,02               ;  12,327             ;  26,051               ;  0,77600             ;  0,26394            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:26.987  ;  60,02               ;  12,330             ;  26,056               ;  0,77630             ;  0,26495            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:29.986  ;  60,02               ;  12,329             ;  26,060               ;  0,77726             ;  0,26600            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:32.985  ;  60,02               ;  12,328             ;  26,056               ;  0,77664             ;  0,26627            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:35.985  ;  60,02               ;  12,325             ;  26,050               ;  0,77848             ;  0,26558            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:38.985  ;  60,02               ;  12,325             ;  26,049               ;  0,77672             ;  0,26484            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:41.984  ;  60,01               ;  12,326             ;  26,052               ;  0,77718             ;  0,26473            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:44.984  ;  60,01               ;  12,326             ;  26,053               ;  0,77652             ;  0,26467            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:47.983  ;  60,01               ;  12,325             ;  26,053               ;  0,77751             ;  0,26401            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:50.982  ;  60,01               ;  12,326             ;  26,055               ;  0,77716             ;  0,26551            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:53.981  ;  60,01               ;  12,327             ;  26,060               ;  0,77777             ;  0,26501            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:56.981  ;  60,01               ;  12,323             ;  26,051               ;  0,77585             ;  0,26519            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:12:59.980  ;  60,01               ;  12,327             ;  26,059               ;  0,77725             ;  0,26451            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:13:02.979  ;  60,01               ;  12,325             ;  26,057               ;  0,77736             ;  0,26539            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:13:05.979  ;  60,01               ;  12,323             ;  26,056               ;  0,77622             ;  0,26612            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:13:08.978  ;  60,01               ;  12,326             ;  26,058               ;  0,77653             ;  0,26541            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:13:11.978  ;  60,01               ;  12,323             ;  26,049               ;  0,77554             ;  0,26683            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:13:14.979  ;  60,01               ;  12,321             ;  26,048               ;  0,77669             ;  0,26438            
