  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-11 19:59:02.586  
  Recording stop:   ;  2024-10-11 20:13:59.975  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:53.997  ;  59.96               ;  12.420             ;  0.58870             ;  0.32225            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:56.999  ;  59.96               ;  12.418             ;  0.58780             ;  0.32353            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:00.001  ;  59.96               ;  12.420             ;  0.58779             ;  0.32182            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:03.003  ;  59.96               ;  12.421             ;  0.58727             ;  0.32356            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:06.005  ;  59.96               ;  12.424             ;  0.58846             ;  0.32313            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:09.007  ;  59.96               ;  12.423             ;  0.58667             ;  0.32304            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:12.009  ;  59.96               ;  12.428             ;  0.58678             ;  0.32349            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:15.011  ;  59.96               ;  12.427             ;  0.58626             ;  0.32293            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:18.013  ;  59.96               ;  12.425             ;  0.58584             ;  0.32211            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:21.016  ;  59.96               ;  12.426             ;  0.58572             ;  0.32194            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:24.018  ;  59.95               ;  12.426             ;  0.58594             ;  0.32233            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:27.021  ;  59.95               ;  12.425             ;  0.58712             ;  0.32165            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:30.024  ;  59.95               ;  12.427             ;  0.58740             ;  0.32195            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:33.026  ;  59.95               ;  12.430             ;  0.58857             ;  0.32280            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:36.028  ;  59.95               ;  12.435             ;  0.58731             ;  0.32351            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:39.030  ;  59.95               ;  12.436             ;  0.58774             ;  0.32101            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:42.031  ;  59.96               ;  12.438             ;  0.58764             ;  0.32167            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:45.033  ;  59.96               ;  12.436             ;  0.58996             ;  0.32180            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:48.034  ;  59.96               ;  12.441             ;  0.58858             ;  0.32243            
