"","Frecuencia","TVSec(V)","ISec(A)","Iprim(A)","TNucleoSup","TDevPrim","TDevSec","Tambiente","V_In","Estado"
"193",60.03,12.187,0.67556,0.22411,28.69,25.56,25.19,24.69,119.9,"Bueno"
"194",60.03,12.184,0.67479,0.22635,28.69,25.56,25.19,24.69,119.9,"Bueno"
"195",60.02,12.188,0.6768,0.22507,28.69,25.56,25.19,24.69,119.9,"Bueno"
"196",60.01,12.185,0.6742,0.2257,28.75,25.56,25.19,24.69,119.9,"Bueno"
"197",60.01,12.183,0.67558,0.22708,28.75,25.56,25.19,24.69,119.9,"Bueno"
"198",60,12.183,0.67657,0.22406,28.75,25.62,25.19,24.69,119.9,"Bueno"
"199",59.99,12.179,0.67422,0.22429,28.75,25.62,25.25,24.69,119.9,"Bueno"
"200",59.99,12.181,0.67801,0.22528,28.75,25.56,25.25,24.69,119.9,"Bueno"
"201",59.99,12.183,0.67614,0.22477,28.75,25.56,25.25,24.62,119.9,"Bueno"
"202",59.97,12.187,0.67617,0.22599,28.81,25.62,25.25,24.69,119.9,"Bueno"
"203",59.97,12.191,0.67592,0.2255,28.81,25.56,25.25,24.69,119.9,"Bueno"
"204",59.97,12.191,0.67497,0.22733,28.81,25.62,25.25,24.69,119.9,"Bueno"
"205",59.97,12.19,0.67605,0.22632,28.81,25.62,25.19,24.69,119.9,"Bueno"
"206",59.97,12.188,0.6743,0.22646,28.81,25.62,25.19,24.69,119.9,"Bueno"
"207",59.97,12.19,0.67413,0.22561,28.81,25.62,25.19,24.69,119.9,"Bueno"
"208",59.97,12.193,0.67644,0.22418,28.87,25.62,25.25,24.69,119.9,"Bueno"
"209",59.97,12.192,0.67509,0.227,28.87,25.62,25.25,24.62,119.9,"Bueno"
"210",59.97,12.194,0.67656,0.22592,28.87,25.69,25.25,24.69,119.9,"Bueno"
"211",59.97,12.183,0.67667,0.22608,28.94,25.69,25.25,24.69,119.9,"Bueno"
"212",59.98,12.191,0.67654,0.22531,28.94,25.62,25.25,24.69,119.9,"Bueno"
"213",59.98,12.192,0.67625,0.22508,28.94,25.62,25.25,24.62,119.9,"Bueno"
"214",59.98,12.194,0.67585,0.22618,28.94,25.62,25.31,24.69,119.9,"Bueno"
"215",59.98,12.193,0.67614,0.22579,29,25.69,25.31,24.69,119.9,"Bueno"
"216",59.98,12.192,0.67619,0.22648,29,25.62,25.31,24.62,119.9,"Bueno"
"217",59.98,12.193,0.67591,0.22596,29.06,25.62,25.31,24.62,119.9,"Bueno"
"218",59.98,12.195,0.67623,0.22671,29,25.69,25.31,24.69,119.9,"Bueno"
"219",59.97,12.194,0.67577,0.227,29.06,25.69,25.31,24.69,119.9,"Bueno"
"220",59.97,12.196,0.67827,0.22654,29.06,25.69,25.31,24.62,119.9,"Bueno"
"221",59.97,12.19,0.67842,0.22557,29.06,25.62,25.31,24.69,119.9,"Bueno"
"222",59.98,12.192,0.67435,0.22698,29.06,25.69,25.31,24.62,119.9,"Bueno"
"223",59.98,12.193,0.67671,0.22604,29.12,25.62,25.31,24.62,119.9,"Bueno"
"224",59.98,12.193,0.67607,0.22553,29.06,25.69,25.37,24.69,119.9,"Bueno"
"225",59.98,12.192,0.67741,0.22544,29.12,25.69,25.31,24.62,119.9,"Bueno"
"226",59.97,12.192,0.6766,0.22628,29.06,25.69,25.37,24.62,119.9,"Bueno"
"227",59.97,12.191,0.67603,0.22599,29.12,25.69,25.37,24.62,119.9,"Bueno"
"228",59.97,12.192,0.6768,0.2267,29.12,25.69,25.31,24.62,119.9,"Bueno"
"229",59.97,12.192,0.67714,0.22523,29.12,25.75,25.37,24.62,119.9,"Bueno"
"230",59.97,12.193,0.67694,0.22641,29.19,25.75,25.31,24.62,119.9,"Bueno"
"231",59.97,12.195,0.67765,0.22582,29.19,25.75,25.37,24.62,119.9,"Bueno"
"232",59.97,12.195,0.67682,0.22635,29.25,25.75,25.37,24.62,119.9,"Bueno"
"233",59.97,12.198,0.67648,0.22591,29.25,25.75,25.37,24.62,119.9,"Bueno"
"234",59.97,12.199,0.67723,0.22809,29.25,25.75,25.37,24.62,119.9,"Bueno"
"235",59.99,12.202,0.6769,0.22571,29.25,25.69,25.37,24.62,119.9,"Bueno"
"236",59.99,12.203,0.67656,0.22592,29.31,25.75,25.37,24.62,119.9,"Bueno"
"237",59.99,12.199,0.67658,0.2266,29.31,25.75,25.37,24.62,119.9,"Bueno"
"238",60,12.198,0.6767,0.22618,29.31,25.75,25.37,24.62,119.9,"Bueno"
"239",60,12.201,0.67675,0.22596,29.31,25.75,25.44,24.62,119.9,"Bueno"
"240",60,12.202,0.6777,0.22674,29.31,25.75,25.44,24.62,119.9,"Bueno"
"241",60,12.199,0.67829,0.22653,29.31,25.75,25.37,24.62,119.9,"Bueno"
"242",59.99,12.197,0.67775,0.2248,29.31,25.81,25.44,24.62,119.9,"Bueno"
"243",59.99,12.201,0.67683,0.22414,29.37,25.75,25.44,24.62,119.9,"Bueno"
"244",59.99,12.199,0.67584,0.22566,29.37,25.75,25.44,24.56,119.9,"Bueno"
"245",60,12.197,0.67663,0.22544,29.37,25.75,25.44,24.62,119.9,"Bueno"
"246",60,12.202,0.6779,0.22611,29.37,25.81,25.44,24.62,119.9,"Bueno"
"247",60,12.202,0.67654,0.22384,29.44,25.81,25.44,24.56,119.9,"Bueno"
"248",60,12.202,0.67707,0.22393,29.44,25.87,25.44,24.62,119.9,"Bueno"
"249",60,12.201,0.67629,0.22469,29.44,25.81,25.44,24.62,119.9,"Bueno"
"250",60,12.199,0.67696,0.22314,29.44,25.81,25.44,24.62,119.9,"Bueno"
"251",60,12.199,0.67682,0.22398,29.44,25.81,25.37,24.69,119.9,"Bueno"
"252",59.99,12.198,0.67691,0.2232,29.44,25.81,25.44,24.62,119.9,"Bueno"
"253",59.99,12.2,0.67739,0.22435,29.44,25.81,25.5,24.62,119.9,"Bueno"
"254",59.99,12.197,0.6764,0.22471,29.44,25.81,25.44,24.62,119.9,"Bueno"
"255",59.98,12.195,0.67625,0.22621,29.44,25.81,25.44,24.62,119.9,"Bueno"
"256",59.98,12.198,0.67635,0.22568,29.5,25.87,25.44,24.62,119.9,"Bueno"
"257",59.98,12.197,0.67935,0.22608,29.5,25.87,25.44,24.62,119.9,"Bueno"
"258",59.97,12.198,0.67775,0.22699,29.5,25.81,25.44,24.62,119.9,"Bueno"
"259",59.97,12.196,0.67756,0.22528,29.56,25.87,25.44,24.62,119.9,"Bueno"
"260",59.97,12.199,0.67852,0.22698,29.56,25.81,25.5,24.62,119.9,"Bueno"
"261",59.97,12.2,0.67661,0.22646,29.56,25.87,25.44,24.62,119.9,"Bueno"
"262",59.97,12.198,0.67734,0.22557,29.56,25.87,25.5,24.62,119.9,"Bueno"
"263",59.97,12.2,0.6776,0.22679,29.56,25.87,25.5,24.62,119.9,"Bueno"
"264",59.97,12.199,0.67845,0.22723,29.56,25.87,25.5,24.62,119.9,"Bueno"
"265",59.97,12.197,0.67953,0.22636,29.62,25.81,25.5,24.62,119.9,"Bueno"
"266",59.97,12.199,0.67767,0.22602,29.62,25.87,25.5,24.62,119.9,"Bueno"
"267",59.97,12.198,0.67591,0.22641,29.62,25.87,25.5,24.62,119.9,"Bueno"
"268",59.97,12.2,0.67803,0.22664,29.62,25.94,25.5,24.62,119.9,"Bueno"
"269",59.97,12.197,0.67603,0.22608,29.62,25.87,25.5,24.62,119.9,"Bueno"
"270",59.97,12.197,0.67824,0.22532,29.69,25.87,25.5,24.62,119.9,"Bueno"
"271",59.97,12.198,0.67553,0.22772,29.69,25.87,25.5,24.56,119.9,"Bueno"
"272",59.98,12.197,0.67523,0.22666,29.69,25.94,25.5,24.62,119.9,"Bueno"
"273",59.98,12.202,0.67715,0.22709,29.69,25.87,25.56,24.62,119.9,"Bueno"
"274",59.98,12.198,0.67637,0.22655,29.75,25.94,25.56,24.62,119.9,"Bueno"
"275",59.99,12.2,0.67723,0.22708,29.75,25.94,25.56,24.62,119.9,"Bueno"
"276",59.99,12.196,0.6779,0.22569,29.81,26,25.5,24.62,119.9,"Bueno"
"277",59.99,12.194,0.67639,0.22604,29.75,26,25.56,24.56,119.9,"Bueno"
"278",59.99,12.192,0.67714,0.22648,29.81,26,25.56,24.62,119.9,"Bueno"
